title,stars,review
4stars just because Im Unhappy with how is packaged,4,"Great phone, I just received today after a week but I didnt like it how is package. They put the box in a cardboard envelope without any wrapping bubble or something extra to protect your phone"
Satisfied upgrade from a 12 Pro,5,"I was reluctant to upgrade from my 12 Pro due to the minimal changes over the versions but a charger port issue made me choose it over a repair. At first, I wasnt sure that I made the right choice but as I always use my phones without cases, Im loving the smooth screen edge and along with the smaller bezel, using the phone is a dream and definitely the selling point for me. I need to give it more time to figure out battery performance but so far its a noticeable improvement. I hope to get used to the new camera button but so far I havent needed it."
First,4,"beautiful phone, but camera control button is quite pointless as using on screen options is more convenient. Better to get 15 pro and youll still be able to use apple intelligence"
Most incomplete product Apple ever released,3,Its a iPhone ok mostly does what other iPhones do. But without the features shown on release videos for Apple AI its a incomplete product.
The phones were perfect,5,"Quick delivery, and the phones arrived in perfect shape"
Love it,5,Made the switch from being long time Samsung. Transition was much easier than I thought and I don't regret it. So much more premium build. No complaints after around a month
GREAT PHONE,5,GREAT UPGRADE AND GOOD VALUE
I personally love it,5,"I haven't upgraded my phone since Iphone 11, I'm very much if it's broken I aint fixing or changing it. Sadly that's exactly what occurred and I was forced to upgrade and I'm genuinely pleasantly surprised as from the 11 to now it feels like a completely new phone to me personally. The camera quality and the overall speed of the phone is what I'm truly enjoying. Perhaps sheeple the trick is to not buy new ones constantly wait 5/7 years"
Brilliant service from snazon,5,We al know the iPhone is iconic and an excellent thing. I ordered and paid for the phone for next day delivery in 25 seconds. Beat that !
Nice phone,5,"Not worth upgrading to but coming to iPhone for the first time, its a nice phone"
iPhone 16 pro 256gb,5,"Upgraded from 14 pro so for me its just the action button and the new camera button I a change . Phone feels lighter.
Thought I might be waiting long for it to arrive but got it in the morning"
Happy with Amazon but disappointed with apple,2,"I wouldnt recommend getting this for phone for solely two reasons. The battery life is horrible and so disappointing. I upgraded because my iPhone 13 battery was dying. However after spending £1,099 I expected the battery to atleast last a day. In reality I had to charge it twice a day with minimum usage. Literally my phone could be sitting idle and the battery was running out. It is not worth the upgrade. Save your money"
Not Top edge performance,2,Not Okay
1000% better than iPhone 14 Pro Max,5,"I purchased the iPhone 16 Pro Max through EE on my upgrade as I do every 2 years on Launch unfortunately it seems the Pro Max was the far superior option for everyone nobody seems to of chosen the Pro version this year, but this year I can definitely say Apple have done wonders the camara, the feel, the OLED display whoever says its not worth upgrading from the 15 Pro max then they are wrong, far wrong its outstanding battery performance lasts me a day of constantly flicking through YT shorts where my 14 Pro max would last only from 6.30am till past 12 midday at most but this it lasts literally all day on full brightness too, so dont wait if you see the Pro Max available I seriously think you should purchase it, the Pro version I say would easily suit someone who is a 7-6pm work schedule your battery will never fail and last 2 possibly 3 full days

Purchase it on the plastic apple or Amazon they all have a return policy time so if your not convinced just try it I promise you wont regret it best iPhone ever designed

I purchased the IPhone 16 Pro max in Titanium white with 1TB storage unfortunately Amazon doesnt have them in stock so left a review on the Pro page I also purchased it through my carrier EE and they do accept plastic sims or eSIM whichever s"
Great screen and battery life,5,Held out for the 256gb pro - not disappointed. The increase in size is just right as a max is too big. Battery is great as is the camera . Screen is next level and sharp. Very pleased
All hype no substance,3,"Same old same old. Superficial updates, most people will not notice anything different in their daily use.

The screen resolution is the exact same only has more pixels because its 6.9 inches , the camera is the exact same , the design is the exact same , the performance just has one extra GPU core 6 cores instead of 5 cores , only AI features and the capture button. If you want AI just download ChatGPT and pay a subscription . Apple is using ChatGPT for their AI anyway , The capture button is such a gimmick by the time you adjust the camera settings using that and press the button you miss the shot and you wasted 2 minutes taking the pic when you can just swipe right from the home screen and press the camera button and adjust the settings within the camera app. But if you want to drop another £1200 because its slightly bigger go ahead.
Dont believe YouTubers and content creators saying this is a huge upgrade its not, compare the specs."
